Date,Firm,To Grade,From Grade,Action,stock_symbol
2019-12-05 12:09:46,HSBC,Reduce,,init,FB
2019-12-05 12:25:30,Stifel Nicolaus,Buy,Hold,up,FB
2019-12-18 15:45:33,Deutsche Bank,Buy,,reit,FB
2020-01-10 12:41:26,Bernstein,Outperform,,init,FB
2020-01-17 13:00:38,UBS,Buy,,main,FB
2020-01-21 13:31:16,Morgan Stanley,Overweight,,main,FB
2020-01-22 15:49:43,Pivotal Research,Buy,,main,FB
2020-01-24 11:08:49,KeyBanc,Overweight,,main,FB
2020-01-24 14:12:30,Credit Suisse,Outperform,,main,FB
2020-01-27 12:24:00,Stifel,Buy,,main,FB
2020-01-29 11:16:12,Raymond James,Strong Buy,Outperform,up,FB
2020-01-30 11:01:10,KeyBanc,Overweight,,main,FB
2020-01-30 11:14:43,Pivotal Research,Hold,Buy,down,FB
2020-01-30 11:42:34,Susquehanna,Positive,,main,FB
2020-01-30 11:47:10,Credit Suisse,Outperform,,main,FB
2020-01-30 11:49:00,RBC Capital,Outperform,,main,FB
2020-01-30 12:34:26,SunTrust Robinson Humphrey,Buy,,main,FB
2020-01-30 12:52:08,Rosenblatt,Buy,,main,FB
2020-01-30 12:58:00,UBS,Buy,,main,FB
2020-01-30 13:07:16,B of A Securities,Buy,,reit,FB
2020-01-30 17:11:07,Oppenheimer,Outperform,,main,FB
2020-02-11 11:35:25,Pivotal Research,Sell,Hold,down,FB
2020-02-28 09:39:55,Edward Jones,Buy,Hold,up,FB
2020-03-17 15:27:04,Wedbush,Outperform,,main,FB
2020-03-18 16:39:53,JP Morgan,Overweight,,main,FB
2020-03-26 15:48:08,Citigroup,Buy,,main,FB
2020-03-30 13:21:35,UBS,Buy,,main,FB
2020-03-30 19:18:03,Morgan Stanley,Overweight,,main,FB
2020-04-16 12:40:52,MKM Partners,Buy,,main,FB
2020-04-20 15:25:39,Credit Suisse,Outperform,,main,FB
2020-04-21 13:48:47,Mizuho,Buy,,main,FB
2020-04-21 16:18:00,UBS,Buy,,main,FB
2020-04-29 14:47:06,BMO Capital,Market Perform,,main,FB
2020-04-30 10:15:08,Pivotal Research,Hold,Sell,up,FB
2020-04-30 11:05:26,Baird,Outperform,,main,FB
2020-04-30 11:40:01,Rosenblatt,Buy,,main,FB
2020-04-30 12:04:35,JMP Securities,Market Outperform,,main,FB
2020-04-30 12:08:52,Raymond James,Strong Buy,,reit,FB
2020-04-30 12:14:20,MKM Partners,Buy,,main,FB
2020-04-30 12:25:31,Mizuho,Buy,,main,FB
2020-04-30 12:28:05,B of A Securities,Buy,,reit,FB
2020-04-30 12:45:08,Morgan Stanley,Overweight,,main,FB
2020-04-30 12:56:51,Stifel,Buy,,main,FB
2020-04-30 13:07:11,Credit Suisse,Outperform,,main,FB
2020-04-30 13:22:50,Oppenheimer,Outperform,,main,FB
2020-04-30 13:37:07,UBS,Buy,,main,FB
2020-04-30 13:52:56,Nomura Instinet,Buy,,main,FB
2020-04-30 15:12:15,Guggenheim,Buy,,main,FB
2020-04-30 16:13:15,SunTrust Robinson Humphrey,Buy,,main,FB
2020-04-30 16:39:15,Canaccord Genuity,Buy,,main,FB
2020-05-21 14:11:46,Stifel,Buy,,main,FB
2020-06-24 13:56:13,Goldman Sachs,Buy,,main,FB
2020-07-09 12:34:31,Morgan Stanley,Overweight,,main,FB
2020-07-20 12:17:01,Credit Suisse,Outperform,,main,FB
2020-07-28 15:34:17,Mizuho,Buy,,main,FB
2020-07-28 15:43:56,Deutsche Bank,Buy,,main,FB
2020-07-31 12:01:22,Rosenblatt,Buy,,main,FB
2020-07-31 12:19:16,Morgan Stanley,Overweight,,main,FB
2020-07-31 12:27:42,Credit Suisse,Outperform,,main,FB
2020-07-31 13:44:12,Canaccord Genuity,Buy,,main,FB
2020-07-31 14:00:00,Raymond James,Strong Buy,,main,FB
2020-08-04 15:38:59,Argus Research,Buy,,main,FB
2020-08-05 15:47:21,HSBC,Reduce,,main,FB
2020-08-24 10:55:12,Citigroup,Buy,,main,FB
2020-08-24 13:05:58,Jefferies,Buy,,main,FB
2020-08-25 17:04:35,UBS,Buy,,main,FB
2020-09-15 08:50:12,KeyBanc,Overweight,,init,FB
2020-09-18 12:26:34,Morgan Stanley,Overweight,,main,FB
2020-09-22 16:11:54,Oppenheimer,Outperform,,main,FB
2020-10-12 12:28:24,Deutsche Bank,Buy,,main,FB
2020-10-20 12:26:24,Jefferies,Buy,,main,FB
2020-10-20 12:31:45,Credit Suisse,Outperform,,main,FB
2020-10-26 08:50:44,KeyBanc,Overweight,,main,FB
2020-10-28 16:47:21,JP Morgan,Overweight,,main,FB
2020-10-30 11:53:22,Raymond James,Strong Buy,,main,FB
2020-10-30 12:45:43,Credit Suisse,Outperform,,main,FB
2020-10-30 12:50:35,Morgan Stanley,Overweight,,main,FB
2020-10-30 15:15:15,Canaccord Genuity,Buy,,main,FB
2020-10-30 17:03:14,Mizuho,Buy,,main,FB
2020-10-30 17:06:53,Wells Fargo,Overweight,,main,FB
2020-10-30 17:14:48,Truist Securities,Buy,,main,FB
2011-12-29 12:47:00,PiperJaffray,,,main,AMZN
2012-02-15 07:33:00,PiperJaffray,Overweight,,main,AMZN
2012-02-16 06:17:00,Morgan Stanley,Equal-Weight,,down,AMZN
2012-04-02 06:06:00,Bank oferica,Neutral,,down,AMZN
2012-04-27 06:21:00,Bank oferica,Buy,,up,AMZN
2012-04-27 07:20:00,Benchmark,Buy,,main,AMZN
2012-04-27 08:09:00,Canaccord Genuity,Hold,,main,AMZN
2012-04-27 08:18:00,Deutsche Bank,Buy,,main,AMZN
2012-04-27 08:38:00,JP Morgan,Overweight,,main,AMZN
2012-04-27 08:41:00,Stifel Nicolaus,Buy,,main,AMZN
2012-04-27 09:03:00,Goldman Sachs,Buy,,up,AMZN
2012-04-27 10:29:00,BGC Financial,Hold,,up,AMZN
2012-04-27 11:37:00,Jefferies,Buy,,main,AMZN
2012-05-15 06:02:00,Credit Suisse,Outperform,,up,AMZN
2012-06-06 06:57:00,JP Morgan,Overweight,,main,AMZN
2012-07-11 07:29:00,BMO Capital,Market Perform,,init,AMZN
2012-07-17 06:29:00,Lazard,Buy,,init,AMZN
2012-07-27 07:00:00,Deutsche Bank,Buy,,main,AMZN
2012-07-27 08:35:00,Oppenheimer,Outperform,,main,AMZN
2012-08-31 06:45:00,PiperJaffray,Overweight,,main,AMZN
2012-09-07 06:52:00,Bank of America,Buy,,main,AMZN
2012-09-11 12:17:00,Barclays,Equal-Weight,,main,AMZN
2012-09-21 06:23:00,Cantor Fitzgerald,Buy,,init,AMZN
2012-10-25 13:09:00,Barclays,Equal-Weight,,main,AMZN
2013-01-07 06:32:45,Morgan Stanley,Overweight,Equal-Weight,up,AMZN
2013-01-09 06:44:52,Benchmark,Buy,,main,AMZN
2013-01-18 08:10:53,Pacific Crest,Outperform,Sector Perform,up,AMZN
2013-01-24 16:03:50,ISI Group,Buy,,init,AMZN
2013-01-25 08:09:16,Canaccord Genuity,Hold,,main,AMZN
2013-01-25 10:18:17,ISI Group,Buy,,init,AMZN
2013-01-28 09:20:47,PiperJaffray,Overweight,,main,AMZN
2013-01-28 09:40:09,PiperJaffray,Overweight,,main,AMZN
2013-01-28 16:13:51,BGC Financial,Hold,,main,AMZN
2013-01-30 07:24:44,Credit Suisse,Outperform,,main,AMZN
2013-01-30 07:33:57,Jefferies,Buy,,main,AMZN
2013-01-30 07:39:57,Nomura,Buy,,main,AMZN
2013-01-30 07:44:46,Credit Agricole,Outperform,Buy,down,AMZN
2013-01-30 08:07:23,Deutsche Bank,Buy,,main,AMZN
2013-01-30 10:04:15,Canaccord Genuity,Hold,,main,AMZN
2013-01-30 10:11:08,Oppenheimer,Outperform,,main,AMZN
2013-01-30 13:27:05,Barclays,Equal-Weight,,main,AMZN
2013-02-20 08:05:47,Nomura,Buy,,main,AMZN
2013-03-14 06:27:32,PiperJaffray,Neutral,Overweight,down,AMZN
2013-03-19 08:07:44,JMP Securities,Market Perform,,init,AMZN
2013-04-17 08:05:16,Nomura,Buy,,main,AMZN
2013-04-22 08:08:33,Bank of America,Buy,,main,AMZN
2013-04-26 08:01:57,Credit Suisse,Outperform,,main,AMZN
2013-05-02 09:43:06,Tigress Financial,Buy,,init,AMZN
2013-05-16 07:58:11,Lazard,Buy,,init,AMZN
2013-07-09 17:28:31,Citigroup,Buy,,init,AMZN
2013-07-10 16:11:16,Susquehanna,Positive,,init,AMZN
2013-07-16 07:53:51,SunTrust Robinson Humphrey,Buy,,init,AMZN
2013-07-26 07:47:45,Nomura,Buy,,main,AMZN
2013-07-26 09:05:35,BMO Capital,Market Perform,,main,AMZN
2013-09-11 06:53:22,Wedbush,Neutral,,init,AMZN
2013-09-19 07:00:00,CRT Capital,Buy,,init,AMZN
2013-10-18 07:17:22,UBS,Buy,Neutral,up,AMZN
2013-10-22 10:45:25,Bank of America,Buy,,main,AMZN
2013-10-25 07:26:13,Raymond James,Strong Buy,Market Perform,up,AMZN
2013-10-25 07:58:31,Benchmark,Buy,,main,AMZN
2013-10-28 07:32:27,Deutsche Bank,Buy,,main,AMZN
2013-10-28 14:02:30,Standpoint,Sell,,init,AMZN
2013-11-14 08:32:20,SunTrust Robinson Humphrey,Buy,,main,AMZN
2013-12-17 06:49:49,Credit Suisse,Outperform,,main,AMZN
2013-12-31 16:00:00,Citigroup,Buy,,main,AMZN
2014-01-03 16:00:00,Topeka,Buy,,main,AMZN
2014-01-06 06:47:14,Morgan Stanley,Overweight,,main,AMZN
2014-01-10 08:30:00,Susquehanna,Positive,,main,AMZN
2014-01-14 08:05:09,FBN Securities,Outperform,,init,AMZN
2014-01-27 16:00:00,Pacific Crest,Outperform,,main,AMZN
2014-01-31 06:47:28,Benchmark,Buy,,main,AMZN
2014-01-31 07:34:49,Stifel Nicolaus,Buy,,main,AMZN
2014-01-31 08:00:00,UBS,Buy,,main,AMZN
2014-01-31 11:56:12,FBN Securities,Outperform,,main,AMZN
2014-02-12 16:00:00,UBS,Neutral,Buy,down,AMZN
2014-04-16 08:04:57,Argus Capital,Buy,Hold,up,AMZN
2014-04-25 00:34:22,Deutsche Bank,Buy,,main,AMZN
2014-04-25 02:06:46,JP Morgan,Neutral,,main,AMZN
2014-04-25 02:39:05,SunTrust Robinson Humphrey,Buy,,main,AMZN
2014-04-25 03:11:18,UBS,Neutral,,main,AMZN
2014-04-25 07:09:17,Credit Suisse,Outperform,,main,AMZN
2014-04-25 08:00:00,Raymond James,Outperform,Strong Buy,down,AMZN
2014-04-25 23:19:52,Cantor Fitzgerald,Buy,,main,AMZN
2014-04-30 16:00:00,Edward Jones,Buy,,init,AMZN
2014-06-26 06:26:54,Barclays,Equal-Weight,,init,AMZN
2014-07-22 06:20:02,Citigroup,Neutral,Buy,down,AMZN
2014-07-25 00:22:27,Deutsche Bank,Buy,,main,AMZN
2014-07-25 00:39:29,Jefferies,Buy,,main,AMZN
2014-07-25 01:40:55,JP Morgan,Neutral,,main,AMZN
2014-07-25 02:16:30,UBS,Neutral,,main,AMZN
2014-07-25 07:28:44,Raymond James,Market Perform,Outperform,down,AMZN
2014-07-25 20:44:53,Canaccord Genuity,Hold,,main,AMZN
2014-07-25 20:44:55,Citigroup,Neutral,,main,AMZN
2014-07-25 21:21:18,CRT Capital,Fair Value,,main,AMZN
2014-10-10 09:00:00,Susquehanna,Positive,,main,AMZN
2014-10-13 08:30:00,Bank of America,Buy,,main,AMZN
2014-10-13 16:00:00,Wolfe Research,,,main,AMZN
2014-10-24 08:30:00,Benchmark,Buy,,main,AMZN
2014-10-24 09:00:00,Credit Suisse,Outperform,,main,AMZN
2014-10-27 08:30:00,"Monness, Crespi, Hardt",Neutral,,init,AMZN
2014-10-29 07:55:37,Morgan Stanley,Overweight,,init,AMZN
2014-11-21 00:00:00,Nomura,Buy,,init,AMZN
2014-11-28 06:10:08,PiperJaffray,Overweight,,main,AMZN
2015-01-13 00:00:00,Citigroup,Buy,Neutral,up,AMZN
2015-01-21 15:48:33,BGC Financial,Buy,Hold,up,AMZN
2015-01-23 08:50:20,Oppenheimer,Outperform,,main,AMZN
2015-01-27 09:00:00,JP Morgan,Neutral,,main,AMZN
2015-01-30 09:00:00,Jefferies,Buy,,main,AMZN
2015-02-19 06:27:35,PiperJaffray,Overweight,,main,AMZN
2015-03-04 06:05:51,Baird,Outperform,,main,AMZN
2015-03-09 06:33:13,SunTrust Robinson Humphrey,Neutral,Buy,down,AMZN
2015-03-09 08:16:28,Axiom Capital,Buy,,init,AMZN
2015-03-10 09:29:02,Wolfe Research,Outperform,Peer Perform,up,AMZN
2015-04-14 09:00:00,Jefferies,Buy,,main,AMZN
2015-04-21 10:08:15,BGC Financial,Hold,Buy,down,AMZN
2015-04-22 07:53:50,Monness Crespi Hardt,Buy,Neutral,up,AMZN
2015-04-24 06:20:35,JP Morgan,Overweight,Neutral,up,AMZN
2015-04-24 06:22:38,Raymond James,Outperform,Market Perform,up,AMZN
2015-04-24 07:24:11,Janney Capital,Buy,Neutral,up,AMZN
2015-04-24 09:00:00,Nomura,Buy,,main,AMZN
2015-05-04 09:00:00,Oppenheimer,Outperform,,main,AMZN
2015-06-03 04:20:33,PiperJaffray,Overweight,,main,AMZN
2015-06-15 07:40:39,Canaccord Genuity,Hold,,main,AMZN
2015-06-25 05:32:43,Evercore ISI Group,,Buy,down,AMZN
2015-06-26 05:55:43,Mizuho,Buy,,init,AMZN
2015-07-14 05:21:38,UBS,Buy,Neutral,up,AMZN
2015-07-15 07:47:17,Nomura,Buy,,main,AMZN
2015-07-20 06:52:15,Cowen & Co.,Outperform,Market Perform,up,AMZN
2015-07-20 06:55:08,Wedbush,Outperform,Neutral,up,AMZN
2015-07-20 06:58:05,Bank of America,Buy,,main,AMZN
2015-07-22 07:16:53,JMP Securities,Outperform,Market Perform,up,AMZN
2015-07-24 03:55:43,Barclays,Overweight,Equal-Weight,up,AMZN
2015-07-24 03:58:28,Morgan Stanley,Overweight,,main,AMZN
2015-07-24 04:33:36,Wedbush,Outperform,,main,AMZN
2015-07-24 06:52:30,JP Morgan,Overweight,,main,AMZN
2015-07-24 08:13:02,Jefferies,Buy,,main,AMZN
2015-07-24 11:00:00,Canaccord Genuity,Hold,,main,AMZN
2015-07-29 06:55:57,Stifel Nicolaus,Buy,Hold,up,AMZN
2015-08-26 06:29:11,Evercore ISI Group,Buy,Hold,up,AMZN
2015-08-27 06:58:56,Raymond James,Strong Buy,Outperform,up,AMZN
2015-09-11 06:25:31,RBC Capital,Outperform,,main,AMZN
2015-10-23 05:40:13,Canaccord Genuity,Hold,,main,AMZN
2015-10-23 05:40:28,Baird,Buy,,main,AMZN
2015-10-23 05:46:04,RBC Capital,Outperform,,main,AMZN
2015-10-23 05:47:57,JP Morgan,Overweight,,main,AMZN
2015-10-23 05:51:15,JMP Securities,Market Outperform,,main,AMZN
2015-10-23 06:08:32,Credit Suisse,Outperform,,main,AMZN
2015-10-23 06:44:30,PiperJaffray,Overweight,,main,AMZN
2015-10-23 07:32:55,Benchmark,Buy,,main,AMZN
2015-10-23 10:32:02,Deutsche Bank,Buy,,main,AMZN
2015-10-23 12:54:05,Jefferies,Buy,,main,AMZN
2015-10-27 07:24:44,Axiom Capital,Buy,,main,AMZN
2015-12-01 04:01:39,Barclays,Overweight,,main,AMZN
2015-12-08 07:24:07,Pacific Crest,Overweight,,init,AMZN
2015-12-09 08:03:33,Nomura,Buy,,main,AMZN
2015-12-15 06:55:59,MKM Partners,Buy,,init,AMZN
2015-12-22 08:51:12,Macquarie,Outperform,,main,AMZN
2016-01-04 07:48:33,Monness Crespi Hardt,Neutral,Buy,down,AMZN
2016-01-12 04:26:16,Credit Suisse,Outperform,,main,AMZN
2016-01-15 07:03:57,Susquehanna,Perform,,init,AMZN
2016-01-19 11:33:46,Credit Suisse,Outperform,,main,AMZN
2016-01-29 08:07:08,Benchmark,Buy,,main,AMZN
2016-02-18 04:21:52,Canaccord Genuity,Buy,Hold,up,AMZN
2016-02-29 07:35:25,Bernstein,Outperform,,main,AMZN
2016-03-02 06:36:54,BMO Capital,Outperform,,init,AMZN
2016-03-22 05:21:20,Raymond James,Outperform,Strong Buy,down,AMZN
2016-03-29 08:20:53,Stifel Nicolaus,Buy,,main,AMZN
2016-04-01 06:38:15,Citigroup,Buy,,main,AMZN
2016-04-07 12:07:31,JP Morgan,Overweight,,main,AMZN
2016-04-29 04:13:56,Axiom Capital,Buy,,main,AMZN
2016-04-29 04:21:47,Goldman Sachs,Buy,,main,AMZN
2016-04-29 04:31:03,Credit Suisse,Outperform,,main,AMZN
2016-04-29 04:34:47,Citigroup,Buy,,main,AMZN
2016-05-03 10:43:04,Nomura,Buy,,main,AMZN
2016-06-10 06:14:21,William Blair,Outperform,,init,AMZN
2016-06-16 07:53:27,KeyBanc,Overweight,,main,AMZN
2016-06-23 04:28:32,Maxim Group,Buy,,init,AMZN
2016-07-21 06:16:56,Goldman Sachs,Buy,,main,AMZN
2016-07-25 06:16:43,Wedbush,Outperform,,main,AMZN
2016-07-29 06:43:02,UBS,Buy,,main,AMZN
2016-07-29 07:05:42,SunTrust Robinson Humphrey,Neutral,,main,AMZN
2016-07-29 07:16:46,JMP Securities,Market Outperform,,main,AMZN
2016-07-29 07:17:56,Pacific Crest,Overweight,,main,AMZN
2016-07-29 07:52:25,CLSA,Outperform,,main,AMZN
2016-07-29 10:43:09,Citigroup,Buy,,main,AMZN
2016-07-29 12:58:38,Deutsche Bank,Buy,,main,AMZN
2016-07-29 13:09:41,Jefferies,Buy,,main,AMZN
2016-07-29 13:42:10,JP Morgan,Overweight,,main,AMZN
2016-08-02 13:19:17,MKM Partners,Buy,,main,AMZN
2016-09-27 07:07:07,JP Morgan,Overweight,,main,AMZN
2016-09-29 10:00:14,Maxim Group,Buy,,main,AMZN
2016-09-30 07:09:27,Guggenheim,Buy,,init,AMZN
2016-09-30 10:37:48,JMP Securities,Market Outperform,,main,AMZN
2016-10-05 14:51:01,SunTrust Robinson Humphrey,Neutral,,main,AMZN
2016-10-05 14:51:14,Morgan Stanley,Overweight,,main,AMZN
2016-10-17 08:14:27,Credit Suisse,Outperform,,main,AMZN
2016-10-24 07:38:24,Goldman Sachs,Buy,,main,AMZN
2016-11-01 10:05:32,Axiom Capital,Buy,,main,AMZN
2016-11-28 12:13:00,Citigroup,Buy,,main,AMZN
2016-11-28 17:33:08,Citigroup,Buy,,main,AMZN
2017-01-20 14:16:33,Aegis Capital,Buy,,init,AMZN
2017-03-28 21:17:15,Barclays,Overweight,,init,AMZN
2017-03-31 11:17:13,Loop Capital,Buy,,init,AMZN
2017-04-04 14:25:38,BMO Capital,Outperform,,main,AMZN
2017-04-10 14:20:59,Needham,Buy,Hold,up,AMZN
2017-04-20 15:54:55,Wolfe Research,Peer Perform,Outperform,down,AMZN
2017-04-24 11:51:49,Goldman Sachs,Buy,,main,AMZN
2017-04-25 13:47:47,Raymond James,Market Perform,,down,AMZN
2017-04-28 12:21:53,Pacific Crest,Sector Weight,Overweight,down,AMZN
2017-04-28 12:45:53,Benchmark,Buy,Buy,reit,AMZN
2017-07-18 13:21:50,Deutsche Bank,Buy,,main,AMZN
2017-07-20 19:08:50,Morgan Stanley,Overweight,,main,AMZN
2017-08-16 12:10:53,SunTrust Robinson Humphrey,Buy,,init,AMZN
2017-09-06 21:12:13,DA Davidson,Buy,,init,AMZN
2017-09-13 10:19:07,Loop Capital,Buy,,init,AMZN
2017-10-11 14:37:25,Credit Suisse,Outperform,,main,AMZN
2017-10-24 11:59:19,Deutsche Bank,Buy,,main,AMZN
2017-10-27 11:23:07,Raymond James,Outperform,Market Perform,up,AMZN
2017-10-27 12:11:17,Stifel Nicolaus,Buy,,main,AMZN
2017-10-27 12:39:14,Citigroup,Buy,,main,AMZN
2017-10-27 15:47:12,Barclays,Overweight,,main,AMZN
2017-10-27 16:39:41,Oppenheimer,Outperform,,main,AMZN
2017-10-27 17:49:45,Loop Capital,Buy,,main,AMZN
2017-10-27 18:04:09,Canaccord Genuity,Buy,,main,AMZN
2017-10-27 19:20:41,UBS,Buy,,main,AMZN
2017-10-30 17:37:20,Citigroup,Buy,,main,AMZN
2017-11-20 13:05:02,Nomura,Buy,,main,AMZN
2017-12-04 20:06:44,Moffett Nathanson,Buy,,init,AMZN
2017-12-06 14:05:24,Evercore ISI Group,Outperform,,init,AMZN
2018-01-05 13:53:56,Citigroup,Buy,Buy,main,AMZN
2018-01-23 12:38:23,Loop Capital,Buy,Buy,main,AMZN
2018-01-26 19:43:29,Morgan Stanley,Overweight,Overweight,main,AMZN
2018-02-02 13:51:46,PiperJaffray,Overweight,Overweight,main,AMZN
2018-02-02 14:11:04,Morgan Stanley,Overweight,Overweight,main,AMZN
2018-02-02 14:46:54,Bank of America,Buy,Buy,main,AMZN
2018-02-02 15:09:23,Barclays,Overweight,Overweight,main,AMZN
2018-02-02 15:50:41,JMP Securities,Market Outperform,Market Outperform,main,AMZN
2018-02-02 16:12:27,Credit Suisse,Outperform,Outperform,main,AMZN
2018-02-05 12:54:03,Nomura,Buy,Buy,main,AMZN
2018-02-21 16:03:00,MKM Partners,Buy,Buy,main,AMZN
2018-04-19 11:51:28,Morgan Stanley,Overweight,Overweight,main,AMZN
2018-04-20 12:26:42,Credit Suisse,Outperform,Outperform,main,AMZN
2018-04-27 11:40:04,Stifel Nicolaus,Buy,Buy,main,AMZN
2018-04-27 12:09:53,Canaccord Genuity,Buy,Buy,main,AMZN
2018-04-27 12:15:40,JMP Securities,Market Outperform,Market Outperform,main,AMZN
2018-04-27 13:03:38,Credit Suisse,Outperform,Outperform,main,AMZN
2018-04-27 13:31:06,Barclays,Overweight,Overweight,main,AMZN
2018-04-27 14:51:51,Wedbush,Outperform,Outperform,main,AMZN
2018-05-05 13:32:14,Argus,Buy,Hold,up,AMZN
2018-05-05 14:00:36,B. Riley FBR,Buy,Neutral,up,AMZN
2018-05-07 18:05:33,Telsey Advisory Group,Outperform,,init,AMZN
2018-06-04 14:17:48,SunTrust Robinson Humphrey,Buy,Buy,reit,AMZN
2018-06-14 12:12:33,DA Davidson,Buy,Buy,main,AMZN
2018-07-13 13:47:40,Cowen & Co.,Outperform,Outperform,main,AMZN
2018-07-13 16:35:49,Barclays,Overweight,Overweight,main,AMZN
2018-07-16 12:50:33,Credit Suisse,Outperform,Outperform,main,AMZN
2018-07-27 11:38:24,JMP Securities,Market Outperform,Market Outperform,main,AMZN
2018-07-27 11:52:11,JP Morgan,Overweight,Overweight,main,AMZN
2018-07-27 13:40:25,PiperJaffray,Overweight,Overweight,main,AMZN
2018-07-27 13:46:25,BMO Capital,Outperform,Outperform,main,AMZN
2018-07-27 14:43:15,Wedbush,Outperform,Outperform,main,AMZN
2018-07-27 14:53:11,Credit Suisse,Outperform,Outperform,main,AMZN
2018-07-27 15:19:12,Canaccord Genuity,Buy,Buy,main,AMZN
2018-07-27 15:23:56,Jefferies,Buy,Buy,main,AMZN
2018-07-27 15:36:14,Morgan Stanley,Overweight,Overweight,main,AMZN
2018-08-29 11:17:58,Morgan Stanley,Overweight,Overweight,main,AMZN
2018-09-05 12:48:05,DA Davidson,Buy,Buy,main,AMZN
2018-09-10 11:11:04,Citigroup,Buy,Buy,main,AMZN
2018-09-10 12:14:26,Wells Fargo,Outperform,Outperform,main,AMZN
2018-09-25 12:59:30,Jefferies,Buy,Buy,main,AMZN
2018-09-27 11:15:02,Stifel Nicolaus,Buy,Buy,main,AMZN
2018-10-23 13:14:21,Jefferies,Buy,Buy,main,AMZN
2018-10-26 13:59:52,Barclays,Overweight,Overweight,main,AMZN
2018-10-26 14:25:22,Bank of America,Buy,Buy,main,AMZN
2018-10-26 15:36:05,Jefferies,Buy,Buy,main,AMZN
2019-01-23 12:52:31,Deutsche Bank,Buy,Buy,main,AMZN
2019-02-01 12:43:38,Deutsche Bank,Buy,Buy,main,AMZN
2019-02-01 13:01:23,Raymond James,Outperform,Outperform,main,AMZN
2019-02-01 15:51:35,Pivotal Research,Buy,,init,AMZN
2019-03-15 10:18:46,KeyBanc,Overweight,Sector Weight,up,AMZN
2019-03-20 12:27:24,Evercore ISI Group,Outperform,,init,AMZN
2019-04-08 17:22:01,Societe Generale,Buy,,init,AMZN
2019-04-26 12:51:30,Goldman Sachs,Buy,Buy,main,AMZN
2019-04-26 12:57:09,Credit Suisse,Outperform,Outperform,main,AMZN
2019-04-26 13:03:24,Raymond James,Outperform,Outperform,main,AMZN
2019-04-26 13:08:09,Benchmark,Buy,Buy,main,AMZN
2019-04-26 13:13:01,Bank of America,Buy,Buy,main,AMZN
2019-04-26 13:32:31,Wedbush,Outperform,Outperform,main,AMZN
2019-04-26 13:37:06,Deutsche Bank,Buy,Buy,main,AMZN
2019-04-26 13:43:11,Barclays,Overweight,Overweight,main,AMZN
2019-04-26 13:46:43,Oppenheimer,Outperform,Outperform,main,AMZN
2019-07-15 12:34:35,Morgan Stanley,Overweight,,main,AMZN
2019-07-22 10:01:43,KeyBanc,Overweight,,main,AMZN
2019-07-24 11:49:08,Credit Suisse,Outperform,,main,AMZN
2019-07-26 11:15:07,Barclays,Overweight,,main,AMZN
2019-07-26 12:08:24,Mizuho,Buy,,main,AMZN
2019-07-26 12:45:47,Raymond James,Outperform,,main,AMZN
2019-07-26 13:00:31,Credit Suisse,Outperform,,main,AMZN
2019-07-26 13:48:05,Baird,Outperform,,main,AMZN
2019-09-03 11:14:58,RBC Capital,Outperform,,main,AMZN
2019-09-23 12:20:47,Morgan Stanley,Overweight,,main,AMZN
2019-10-21 12:17:20,Bank of America,Buy,,main,AMZN
2019-10-25 11:32:05,Raymond James,Outperform,,main,AMZN
2019-10-25 11:33:03,Credit Suisse,Outperform,,main,AMZN
2019-10-25 11:34:27,Barclays,Overweight,,main,AMZN
2019-10-25 11:35:30,Piper Jaffray,Overweight,,main,AMZN
2019-10-25 12:15:22,Morgan Stanley,Overweight,,main,AMZN
2019-10-25 12:38:25,BMO Capital,Outperform,,main,AMZN
2019-10-25 12:44:24,MKM Partners,Buy,,main,AMZN
2019-10-25 13:18:38,Wedbush,Outperform,,main,AMZN
2019-10-25 13:24:07,Oppenheimer,Outperform,,main,AMZN
2019-10-25 13:28:39,SunTrust Robinson Humphrey,Buy,,main,AMZN
2019-10-25 14:05:35,JMP Securities,Market Outperform,,main,AMZN
2019-11-26 15:11:48,China Renaissance,Hold,,init,AMZN
2020-01-10 12:40:41,Bernstein,Market Perform,,init,AMZN
2020-01-16 13:57:33,Morgan Stanley,Overweight,,main,AMZN
2020-01-17 12:57:21,UBS,Buy,,main,AMZN
2020-01-22 15:43:30,Pivotal Research,Buy,,main,AMZN
2020-01-27 12:38:55,Benchmark,Buy,,main,AMZN
2020-01-29 13:38:08,BMO Capital,Outperform,,main,AMZN
2020-01-29 13:39:30,Deutsche Bank,Buy,,main,AMZN
2020-01-31 10:51:43,KeyBanc,Overweight,,main,AMZN
2020-01-31 12:01:28,Wells Fargo,Overweight,,main,AMZN
2020-01-31 12:03:27,Credit Suisse,Outperform,,main,AMZN
2020-01-31 12:04:18,Mizuho,Buy,,main,AMZN
2020-01-31 12:45:40,Raymond James,Outperform,,main,AMZN
2020-01-31 12:52:15,UBS,Buy,,main,AMZN
2020-01-31 13:00:30,Cowen & Co.,Outperform,,main,AMZN
2020-01-31 13:01:49,Stifel,Buy,,main,AMZN
2020-01-31 13:04:30,Goldman Sachs,Buy,,main,AMZN
2020-01-31 13:07:04,JMP Securities,Market Outperform,,main,AMZN
2020-01-31 13:08:18,Piper Sandler,Overweight,,main,AMZN
2020-01-31 14:07:57,Baird,Outperform,,main,AMZN
2020-01-31 15:18:50,DA Davidson,Buy,,reit,AMZN
2020-01-31 15:28:14,RBC Capital,Outperform,,main,AMZN
