Date,Firm,To Grade,From Grade,Action,stock_symbol
2013-08-30 07:48:35,Stifel Nicolaus,Buy,,main,FB
2013-09-05 10:46:59,Pivotal Research,Buy,,main,FB
2013-09-05 11:40:02,Oracle Investment Research,Hold,Strong Buy,down,FB
2013-09-06 06:44:58,SunTrust Robinson Humphrey,Buy,,main,FB
2013-09-12 07:58:13,JP Morgan,Overweight,,main,FB
2013-09-12 08:04:53,JP Morgan,Overweight,,main,FB
2013-09-18 11:12:14,Wedbush,Outperform,,main,FB
2013-09-19 07:00:00,CRT Capital,Buy,,init,FB
2013-09-20 06:54:45,Cowen & Co.,Outperform,Market Perform,up,FB
2013-09-24 06:45:07,Citigroup,Buy,Neutral,up,FB
2013-09-25 06:26:15,Canaccord Genuity,Buy,,init,FB
2013-09-25 08:34:57,Oppenheimer,Outperform,,main,FB
2013-09-26 06:24:44,Jefferies,Buy,,main,FB
2013-09-27 07:03:22,Deutsche Bank,Buy,,main,FB
2013-10-03 06:31:42,Pivotal Research,Hold,Buy,down,FB
2013-10-03 16:00:00,Macquarie,Outperform,,main,FB
2013-10-04 06:45:30,Sterne Agee,Buy,,main,FB
2013-10-07 07:15:50,Raymond James,Strong Buy,Outperform,down,FB
2013-10-07 07:52:32,Topeka,Buy,,main,FB
2013-10-07 16:00:00,Atlantic Equities,Overweight,,init,FB
2013-10-15 06:43:56,Evercore Partners,Overweight,,main,FB
2013-10-28 07:34:21,Credit Suisse,Neutral,,main,FB
2013-10-30 16:23:24,BTIG Research,Buy,Neutral,up,FB
2013-10-31 07:28:57,BMO Capital,Market Perform,Outperform,down,FB
2013-10-31 08:28:15,Stifel Nicolaus,Buy,,main,FB
2013-10-31 08:40:46,Deutsche Bank,Buy,,main,FB
2013-10-31 09:08:33,SunTrust Robinson Humphrey,Buy,,main,FB
2013-10-31 09:16:47,Credit Suisse,Neutral,,main,FB
2013-11-01 07:28:41,Argus Capital,Buy,,up,FB
2013-11-01 10:34:14,Citigroup,Buy,,main,FB
2013-11-05 10:31:53,Goldman Sachs,Buy,,main,FB
2013-11-21 06:27:06,FBR Capital,Outperform,,init,FB
2013-11-27 15:27:27,S&P Capital IQ,Buy,Hold,up,FB
